2984478018318468,Chuột đực tháng 10 của em  Trộm vía em đập ói ra vs mẹ nhanh như 1 con gió   Chúc các mom sớm săn đc chim non 
2985544281545175,"Các mom cho em hỏii , như này chuẩn chim non chưa ạ "
2986208711478732,"Kết quả xnm 2 lần của em dương tính, em săn được chim non rồi các mom ạ. Em xnm bs thắng viện Hàn lâm, thấy các mom chia sẻ chỗ bs thắng này chưa ai sai nên cũng yên tâm. Em đang tính làm thêm xn Nipt ở tuần thứ 9 mà không biết nên làm bs thắng hay làm chỗ bs chung, bs đạt để đối chiếu kq nữa. Các mom cho em lời khuyên ạ."
2983619545070982,Nay 20 tuần mới dám khoe với chị e. Bác sĩ bảo hàng thửa ở đâu mà to thế  chúc chị e săn chim thành công ạ
2986570538109216,"Các mom ơi, lại là em đây ạk,các mom bầu con trai thường thì ốm ngén như thế nào vậy ạk. Em thì tháng đầu thì sáng chiều tối gì cũng ngén, bây gio đc gần 3 tháng rồi thì ngén giảm đi nhiều, ngén ít ve buoi chieu tối thôi ak, em chua ngọt gì cũng k thèm,ngén mùi dầu mỡ và thịt.chỉ thèm ăn cay mặn.bàn tay thì có vẻ khô, mặt thì mụn và đen hơn khi chưa bầu.đặc biệt là mất ngủ về đêm trầm trọng.như vậy bầu con trai hay con gái vậy ạk"
2985991328167137,Các me cho em xin 1 lời chúc vơi.em tiêm truong thành phổi  hôm qua dk 1 mũi rôi đang đơi thứ 6 nay hôi chuẩn lai . Rồi mổ luôn .em thai 33w rôi .huu Huyểt ap cao co bênh nền trong nguoi dương tinh voi anti  .  thai luu 1lan 32w .từ hom qua gap bs vê em lo k ngủ nổi. Bs bảo để thi nguy cơ chêt luu cao đẻ thinguy cơ sông thấp em lo cho con quá .em mong ngày hôm nay qua thât nhanh đi. Mong con bình an khỏe mạnh chào đời
2982034808562789,Chim non 2 tháng nhà mình đây. Chúc các mẹ săn chim non thành công
2977171389049131,"Em đi canh trứng về, hôm nay thử 2V  Các mom mát miệng chúc em chim đậu bụng vs ạThanks"
2982341255198811,"Chào các mom, đây là lần đầu e đăng bài trên nhóm. Em 1 bé gái rồi, lúc 11w hơn đi siêu âm bác sĩ bảo 60% trai, 12w lại bảo 70-80% gái... E sinh mổ với cơ địa yếu nên chỉ sinh 2 đứa thôi, các mom mát miệng chúc em có chim non mọc muộn nhé. Em cảm ơn!"
2982084731891130,Chiều  nay  em  xnm bác sĩ  đạt  các mẹ mát  miệng  chúc  em đậu chim non đi ạ
2983667438399526,E mới 2 vạch máy mom Chúc em có ku tí đi ạ
2981694778596792,mừng quá các mom ơi. Trai nhà e đây ạ.  e hay đi xin vía chim non. lỡ tập 2 mà dk như ý rồi ạ
