fb_id,content
624110458395387,"#Halo_share 🌸 ĐÀ LẠT THÁNG 1 CÓ GÌ? 🌸 Đà Lạt tháng 1 vào xuân đẹp xuất sắc luôn, team mê Đà Lạt nhất định không được bỏ qua nha 😍😍😍 #Halo_dalat"
622009275272172,"[#halofun] BÍ QUYẾT DU HÝ ĐÀ LẠT CHỈ VỚI 100K Đi Đà Lạt không khó, chỉ cần có niềm tin là được nha cả nhà T.T #halodalat #haloreview #haloshare"
981953038846963,Lại lên cơn vật sầu riêng mất ồi 😢
808127373029226,#Halo_trend 😵😵 Cách ứng phó với 1001 CÂU HỎI CÀ KHỊA ngày tết Lưu ngay về để tết còn dùng nàooo 💃💃
979174195791514,HOA QUẢ chính là chân ái cuộc đờiii 🥑😌🍎🍉🍑🍇🍓🍍🥥
732109697198181,Nếu không nói thì . . .  chẳng ai biết đây là Đà Nẵng đâu ;)  . . . #doquen #danang #hoànghôn
622191218587311,"#Halo_share Dạo hồ Tuyền Lâm ngắm hoàng hôn Đà Lạt đẹp đến nao lòng, bạn đã thử chưa? #Halo_dalat"
975437019498565,Ai cũng có một người bạn khóc thét khi thấy cái tô này. 🙂
976346602740940,"[Góc review] 📍Bún Cô Chinh: Hẻm gửi xe (CẠNH ngõ 72 Royal City), Nguyễn Trãi, Thanh Xuân, Hà Nội 💸 20-30k ⏰ 10h-20h 🌱 Quán tìm hơi khó nha. Nó nằm ở cái Hẻm Bãi Gửi Xe cạnh ngõ 72 Royal City. Gặp người dân hỏi “Bún Đậu Cô Chinh” là ai cũng biết =)))))) Đợt trước hay ăn vì làm ở gần đó, hầu như tuần nào cũng ăn. Bây giờ quay lại vẫn đầy đặn như thế 😚 🌱Kia là mẹt 60k/2 người (30k/người) mà ăn no lặc lè mãi mới hết 😢. Cái gì cũng đầy đặn luôn, đậu rán siêu giòn, ngậy mùi đậu. Dồi rán như thế mà không bị khô đâu nhée. Thịt chân giò thì cô thái hơi to, chắc nhà không thiếu thịt 🤣 🌱 Điều đặc biệt ở quán của cô có thêm THỊT SỤN. VÂNG, KHÔNG NHẦM ĐÂU, THỊT SỤN 😭. Đây là quán đầu tiên mình thấy có Thịt sụn mà mình được ăn và từ trước tới giờ chưa thấy quán nào có cả 😍. Đây chính là thứ lôi kéo mình đến với cô =))))))). Có hôm Sụn còn được nhồi với cả Dồi cơ, ăn miếng dồi nó giòn giòn lạ miệng lắm 😽 Ngoài ra Mắm tôm là linh hồn của bún đậu, ở đây ăn ngon lắm nhé mà đặc sánh, ăn không hề bị quá ngọt. Vắt ít quất, cho vài miếng ớt thì 1 bát kbh là đủ với mình 😂 🌱Không gian rộng rãi, có cả trên tầng nữa nha. Ngoài bún đậu cô còn bán cả bún chả, bún nước,...🙆🏻‍♂️ Edit: N nằm cạnh ngõ 72 (trong hẻm) không phải trong ngõ 72 nhé mn. Nhiều bạn đi ăn nhầm địa chỉ mất r 😂 Edit2: Mn đi từ Giáp Nhất thì rẽ vào ngõ 7 sẽ dễ hơn, quán cô bên phải nhaaa —————- Cre: Dương Trố"
619509592188807,[#haloshare] ✨ Mai anh đào nở rộ hai bên đường Đà Lạt ✨ 💃 Tết Nguyên Đán đã đến rất gần rồi anh em ơi. Năm nay có ai lên Đà Lạt chơi tết không nhỉ? 💃 Ảnh: Dâu Ny #halodalat #halotravel #halovietnam
